N,P,K,label
43,68,81,soybeans
28,76,82,soybeans
42,79,85,soybeans
32,60,83,soybeans
22,78,76,soybeans
31,79,75,soybeans
28,58,81,soybeans
57,58,77,soybeans
49,55,78,soybeans
46,76,77,soybeans
54,61,77,soybeans
38,60,76,soybeans
59,55,79,soybeans
36,76,75,soybeans
57,68,81,soybeans
35,66,81,soybeans
35,64,78,soybeans
52,60,79,soybeans
27,76,83,soybeans
57,60,84,soybeans
52,68,78,soybeans
43,79,79,soybeans
44,74,85,soybeans
24,55,78,soybeans
29,77,75,soybeans
20,60,78,soybeans
56,67,78,soybeans
37,66,85,soybeans
49,71,76,soybeans
59,69,80,soybeans
20,79,77,soybeans
24,56,85,soybeans
51,72,75,soybeans
57,73,85,soybeans
22,64,82,soybeans
52,73,79,soybeans
29,75,75,soybeans
44,59,78,soybeans
41,69,82,soybeans
52,56,85,soybeans
34,76,80,soybeans
42,74,83,soybeans
34,71,79,soybeans
27,73,79,soybeans
30,70,79,soybeans
57,57,75,soybeans
27,79,82,soybeans
32,71,85,soybeans
31,76,82,soybeans
33,75,84,soybeans
47,80,77,soybeans
54,62,80,soybeans
47,79,78,soybeans
35,57,83,soybeans
53,73,77,soybeans
45,61,78,soybeans
37,78,79,soybeans
30,75,81,soybeans
37,55,82,soybeans
53,65,76,soybeans
22,60,85,soybeans
60,61,78,soybeans
42,67,77,soybeans
39,76,76,soybeans
35,63,76,soybeans
30,65,82,soybeans
57,56,78,soybeans
48,65,78,soybeans
36,56,83,soybeans
40,58,75,soybeans
49,69,82,soybeans
13,60,25,beans
25,70,16,beans
31,55,22,beans
40,64,16,beans
2,61,20,beans
26,65,22,beans
17,57,21,beans
26,80,18,beans
17,59,17,beans
27,59,22,beans
28,58,24,beans
25,57,19,beans
28,80,17,beans
25,60,22,beans
12,78,23,beans
6,77,25,beans
22,79,17,beans
27,80,15,beans
10,55,23,beans
23,65,20,beans
19,78,16,beans
19,65,25,beans
22,70,19,beans
37,64,22,beans
11,71,17,beans
18,79,20,beans
21,63,17,beans
24,80,22,beans
34,60,22,beans
16,75,21,beans
17,77,23,beans
37,72,18,beans
40,73,20,beans
9,77,17,beans
1,62,23,beans
33,59,22,beans
23,59,19,beans
6,62,22,beans
25,63,20,beans
7,79,23,beans
8,72,17,beans
27,64,15,beans
28,66,23,beans
32,57,18,beans
27,56,22,beans
17,77,24,beans
0,65,15,beans
13,72,21,beans
34,60,23,beans
9,80,19,beans
11,72,20,beans
3,67,24,beans
35,69,23,beans
3,77,25,beans
23,62,19,beans
22,71,17,beans
31,79,25,beans
34,59,18,beans
12,63,17,beans
27,56,20,beans
7,63,24,beans
24,67,22,beans
11,71,24,beans
37,74,15,beans
25,76,24,beans
34,66,17,beans
20,69,15,beans
37,65,16,beans
18,74,15,beans
4,67,25,beans
37,56,25,beans
5,59,15,beans
11,61,21,beans
22,80,20,beans
12,61,19,beans
5,74,21,beans
27,69,22,beans
31,75,18,beans
36,68,20,beans
5,65,16,beans
32,79,15,beans
11,78,22,beans
0,55,22,beans
14,59,15,beans
29,68,23,beans
32,68,19,beans
17,64,17,beans
13,69,19,beans
14,67,22,beans
9,69,20,beans
20,73,22,beans
40,78,20,beans
27,72,23,beans
14,67,15,beans
7,56,18,beans
27,65,18,beans
30,63,16,beans
37,70,25,beans
27,63,19,beans
22,60,24,beans
3,72,24,peas
40,59,23,peas
33,73,23,peas
27,57,24,peas
10,79,18,peas
30,75,25,peas
40,70,20,peas
38,55,19,peas
35,58,20,peas
38,61,21,peas
33,58,24,peas
16,56,17,peas
31,72,17,peas
16,80,20,peas
27,72,17,peas
40,62,19,peas
18,58,16,peas
3,68,16,peas
26,67,24,peas
16,70,20,peas
24,63,19,peas
9,76,25,peas
16,55,19,peas
28,75,21,peas
16,71,24,peas
24,70,21,peas
38,72,21,peas
9,66,21,peas
34,56,17,peas
1,76,19,peas
6,69,19,peas
26,73,21,peas
27,61,18,peas
27,71,23,peas
36,61,21,peas
17,73,18,peas
26,72,22,peas
17,64,16,peas
14,74,19,peas
39,60,15,peas
6,66,15,peas
8,59,18,peas
2,67,18,peas
1,76,17,peas
16,73,19,peas
23,75,25,peas
32,70,20,peas
28,59,22,peas
5,62,23,peas
36,67,25,peas
1,66,23,peas
24,73,20,peas
17,67,18,peas
5,55,18,peas
5,56,24,peas
37,77,17,peas
13,73,20,peas
6,63,23,peas
16,77,22,peas
25,64,20,peas
34,75,24,peas
20,77,23,peas
35,80,25,peas
14,75,24,peas
36,80,21,peas
7,77,18,peas
29,78,25,peas
30,60,21,peas
20,74,16,peas
19,57,23,peas
3,60,19,peas
5,77,19,peas
5,68,20,peas
37,73,21,peas
9,59,24,peas
20,72,15,peas
31,56,23,peas
0,70,21,peas
21,74,15,peas
13,67,18,peas
27,74,20,peas
29,72,24,peas
5,68,20,peas
39,57,19,peas
22,62,16,peas
18,55,23,peas
39,77,21,peas
13,75,20,peas
27,71,24,peas
26,64,22,peas
23,55,16,peas
4,69,19,peas
20,67,19,peas
7,74,17,peas
17,64,18,peas
35,71,17,peas
11,72,22,peas
20,60,22,peas
10,71,18,peas
33,61,24,peas
3,49,18,peanut
22,59,23,peanut
36,58,25,peanut
4,43,18,peanut
29,54,16,peanut
32,43,22,peanut
14,55,15,peanut
5,35,20,peanut
25,57,24,peanut
11,53,24,peanut
40,49,17,peanut
38,56,25,peanut
27,43,23,peanut
24,38,22,peanut
23,45,21,peanut
29,57,20,peanut
31,35,23,peanut
0,55,25,peanut
7,45,22,peanut
17,58,25,peanut
11,44,17,peanut
22,49,22,peanut
9,51,19,peanut
28,48,15,peanut
26,50,19,peanut
36,56,20,peanut
8,60,18,peanut
24,37,21,peanut
22,43,24,peanut
36,43,24,peanut
22,44,24,peanut
17,43,22,peanut
8,45,15,peanut
7,56,23,peanut
36,57,16,peanut
11,45,19,peanut
6,36,22,peanut
17,57,20,peanut
4,47,20,peanut
9,49,16,peanut
25,51,24,peanut
36,44,21,peanut
21,38,20,peanut
37,57,20,peanut
32,48,18,peanut
29,44,20,peanut
25,51,18,peanut
10,44,24,peanut
23,35,18,peanut
9,60,23,peanut
3,58,21,peanut
22,42,22,peanut
12,39,21,peanut
39,36,22,peanut
32,41,16,peanut
30,41,15,peanut
19,36,22,peanut
4,46,15,peanut
21,39,20,peanut
35,57,25,peanut
22,55,24,peanut
35,51,17,peanut
17,56,17,peanut
28,57,17,peanut
22,36,16,peanut
11,41,19,peanut
38,38,18,peanut
23,37,24,peanut
25,35,20,peanut
40,45,20,peanut
23,58,19,peanut
2,56,23,peanut
3,56,17,peanut
26,51,25,peanut
39,42,20,peanut
27,59,20,peanut
24,45,19,peanut
7,40,17,peanut
15,45,23,peanut
26,52,23,peanut
20,45,16,peanut
34,54,24,peanut
19,51,25,peanut
29,41,21,peanut
20,50,22,peanut
11,40,23,peanut
15,54,15,peanut
35,55,22,peanut
9,59,25,peanut
40,45,18,peanut
35,38,19,peanut
14,58,17,peanut
40,55,18,peanut
18,36,23,peanut
35,52,15,peanut
4,59,22,peanut
22,51,16,peanut
33,47,17,peanut
2,51,17,peanut
16,51,21,peanut
19,55,20,cowpeas
8,54,20,cowpeas
36,55,20,cowpeas
10,56,16,cowpeas
22,56,17,cowpeas
9,57,24,cowpeas
34,59,23,cowpeas
31,51,25,cowpeas
0,49,18,cowpeas
21,39,20,cowpeas
28,35,22,cowpeas
17,52,17,cowpeas
24,42,23,cowpeas
28,46,16,cowpeas
21,38,21,cowpeas
34,60,25,cowpeas
19,53,22,cowpeas
31,58,15,cowpeas
19,35,24,cowpeas
24,53,17,cowpeas
13,47,20,cowpeas
31,53,16,cowpeas
28,45,23,cowpeas
31,37,21,cowpeas
33,60,15,cowpeas
34,45,21,cowpeas
13,57,25,cowpeas
33,57,17,cowpeas
32,57,22,cowpeas
23,59,25,cowpeas
35,41,18,cowpeas
6,48,24,cowpeas
29,36,25,cowpeas
4,36,22,cowpeas
10,59,22,cowpeas
14,48,21,cowpeas
8,50,21,cowpeas
20,40,15,cowpeas
36,43,22,cowpeas
14,57,15,cowpeas
11,60,23,cowpeas
10,59,15,cowpeas
7,60,25,cowpeas
2,47,15,cowpeas
20,45,22,cowpeas
2,39,15,cowpeas
27,40,24,cowpeas
35,48,15,cowpeas
4,59,25,cowpeas
1,48,24,cowpeas
36,43,21,cowpeas
11,46,24,cowpeas
34,47,19,cowpeas
21,44,18,cowpeas
17,58,20,cowpeas
25,40,21,cowpeas
2,38,18,cowpeas
9,48,20,cowpeas
37,49,25,cowpeas
36,38,15,cowpeas
40,58,15,cowpeas
30,44,16,cowpeas
1,59,23,cowpeas
9,48,22,cowpeas
14,41,17,cowpeas
35,52,19,cowpeas
31,48,17,cowpeas
4,41,20,cowpeas
30,37,25,cowpeas
9,35,20,cowpeas
20,41,20,cowpeas
37,50,23,cowpeas
34,35,21,cowpeas
14,37,15,cowpeas
23,39,22,cowpeas
5,45,21,cowpeas
22,37,20,cowpeas
40,51,17,cowpeas
27,56,20,cowpeas
31,40,22,cowpeas
38,36,21,cowpeas
6,37,17,cowpeas
6,47,18,cowpeas
24,44,17,cowpeas
25,59,19,cowpeas
32,56,21,cowpeas
8,45,18,cowpeas
19,39,17,cowpeas
39,37,15,cowpeas
33,37,19,cowpeas
26,54,17,cowpeas
21,51,15,cowpeas
22,54,20,cowpeas
29,45,16,cowpeas
4,40,21,cowpeas
10,37,22,cowpeas
4,44,19,cowpeas
20,45,17,cowpeas
23,45,23,cowpeas
25,48,21,cowpeas
91,94,46,banana
105,95,50,banana
108,92,53,banana
86,76,54,banana
80,77,49,banana
93,94,53,banana
90,92,55,banana
108,89,53,banana
108,88,55,banana
105,77,52,banana
118,88,52,banana
101,87,54,banana
95,75,50,banana
106,85,53,banana
86,95,49,banana
83,79,55,banana
85,95,47,banana
109,79,45,banana
100,76,45,banana
117,86,48,banana
114,94,53,banana
110,78,50,banana
94,70,48,banana
80,71,47,banana
114,79,51,banana
88,78,45,banana
112,73,48,banana
117,76,47,banana
111,87,48,banana
89,83,47,banana
93,91,47,banana
92,81,52,banana
105,74,45,banana
102,71,48,banana
94,91,51,banana
116,71,47,banana
117,79,49,banana
119,72,55,banana
99,73,53,banana
91,84,52,banana
80,90,47,banana
101,70,48,banana
108,89,53,banana
100,80,52,banana
109,91,53,banana
82,78,46,banana
106,70,55,banana
90,86,52,banana
83,95,50,banana
119,90,48,banana
107,72,45,banana
116,81,55,banana
101,75,50,banana
93,81,50,banana
95,75,45,banana
107,71,55,banana
83,94,47,banana
102,73,54,banana
86,79,45,banana
117,86,53,banana
111,79,53,banana
95,74,50,banana
91,75,55,banana
93,83,46,banana
92,85,51,banana
104,80,54,banana
103,72,51,banana
92,75,45,banana
93,85,49,banana
120,87,52,banana
108,72,46,banana
105,88,54,banana
98,79,50,banana
111,88,55,banana
97,74,45,banana
95,82,48,banana
89,91,55,banana
89,85,55,banana
118,88,51,banana
101,92,45,banana
99,92,47,banana
82,77,46,banana
90,86,55,banana
95,88,52,banana
104,73,46,banana
102,73,52,banana
100,74,52,banana
94,89,48,banana
99,70,46,banana
112,87,48,banana
117,82,45,banana
96,86,51,banana
113,85,45,banana
105,93,46,banana
85,89,51,banana
108,94,47,banana
92,81,52,banana
110,71,54,banana
82,75,55,banana
117,81,53,banana
2,40,27,mango
39,24,31,mango
21,26,27,mango
25,22,25,mango
0,21,32,mango
20,19,35,mango
19,21,34,mango
18,17,31,mango
11,36,33,mango
30,28,30,mango
18,19,27,mango
23,23,27,mango
37,30,34,mango
11,27,30,mango
12,19,31,mango
3,28,33,mango
37,38,32,mango
26,37,30,mango
14,18,30,mango
40,16,35,mango
4,20,25,mango
36,25,33,mango
30,17,31,mango
28,37,28,mango
38,15,30,mango
12,37,30,mango
38,19,31,mango
8,33,29,mango
15,27,28,mango
34,16,25,mango
11,36,31,mango
33,29,34,mango
12,31,26,mango
12,34,28,mango
5,16,31,mango
1,30,29,mango
16,35,31,mango
35,18,26,mango
4,40,26,mango
9,29,34,mango
2,38,33,mango
26,32,32,mango
34,38,31,mango
5,32,33,mango
31,29,26,mango
34,34,35,mango
36,19,32,mango
7,17,26,mango
38,15,27,mango
5,19,25,mango
37,36,26,mango
21,31,32,mango
37,36,27,mango
23,23,30,mango
36,26,26,mango
24,33,35,mango
26,18,30,mango
22,17,26,mango
11,34,32,mango
29,35,28,mango
22,28,26,mango
23,24,32,mango
1,35,34,mango
2,24,34,mango
39,37,25,mango
15,36,27,mango
3,18,31,mango
8,38,32,mango
33,31,34,mango
14,29,32,mango
18,20,26,mango
9,21,32,mango
20,30,27,mango
9,38,25,mango
26,24,34,mango
31,36,29,mango
14,18,35,mango
40,16,35,mango
28,27,34,mango
0,17,30,mango
1,29,29,mango
2,36,31,mango
12,27,26,mango
7,28,35,mango
0,36,26,mango
26,35,31,mango
27,21,30,mango
22,38,31,mango
22,18,31,mango
28,23,28,mango
7,31,27,mango
29,34,26,mango
8,37,33,mango
39,16,27,mango
40,24,25,mango
19,38,26,mango
21,21,30,mango
22,18,33,mango
31,20,30,mango
18,26,31,mango
119,25,51,watermelon
119,19,55,watermelon
105,30,50,watermelon
114,8,50,watermelon
93,22,52,watermelon
80,26,55,watermelon
85,27,45,watermelon
85,22,53,watermelon
82,22,45,watermelon
118,13,54,watermelon
83,25,53,watermelon
86,15,47,watermelon
101,10,47,watermelon
119,9,50,watermelon
104,17,46,watermelon
95,12,51,watermelon
102,14,52,watermelon
109,21,55,watermelon
81,18,50,watermelon
103,17,51,watermelon
105,14,50,watermelon
97,8,52,watermelon
120,19,49,watermelon
95,16,55,watermelon
83,29,52,watermelon
83,9,45,watermelon
91,21,50,watermelon
116,5,54,watermelon
112,28,54,watermelon
88,29,51,watermelon
118,15,45,watermelon
92,21,48,watermelon
106,14,45,watermelon
99,5,47,watermelon
98,8,51,watermelon
108,22,46,watermelon
119,7,55,watermelon
117,27,48,watermelon
109,10,53,watermelon
80,16,46,watermelon
100,18,52,watermelon
91,7,53,watermelon
86,6,53,watermelon
107,5,52,watermelon
103,16,49,watermelon
101,20,48,watermelon
85,25,47,watermelon
84,7,51,watermelon
102,28,54,watermelon
98,25,52,watermelon
97,25,50,watermelon
90,16,45,watermelon
95,12,46,watermelon
82,23,49,watermelon
82,25,51,watermelon
110,28,46,watermelon
118,21,51,watermelon
120,20,45,watermelon
91,7,52,watermelon
81,6,55,watermelon
101,13,54,watermelon
101,17,55,watermelon
111,6,53,watermelon
107,10,49,watermelon
115,11,46,watermelon
84,25,52,watermelon
120,7,47,watermelon
91,12,46,watermelon
89,22,52,watermelon
113,19,46,watermelon
97,22,50,watermelon
117,30,50,watermelon
90,14,52,watermelon
104,23,47,watermelon
81,16,45,watermelon
88,5,47,watermelon
92,7,45,watermelon
81,18,50,watermelon
111,5,55,watermelon
108,23,51,watermelon
113,30,50,watermelon
83,10,53,watermelon
101,11,51,watermelon
114,21,55,watermelon
99,6,45,watermelon
92,20,55,watermelon
92,7,48,watermelon
91,24,55,watermelon
110,21,54,watermelon
112,25,51,watermelon
89,25,54,watermelon
100,10,53,watermelon
83,22,54,watermelon
95,14,50,watermelon
119,30,49,watermelon
97,12,47,watermelon
110,7,45,watermelon
96,18,50,watermelon
83,23,55,watermelon
120,24,47,watermelon
22,30,12,orange
37,6,13,orange
27,13,6,orange
7,16,9,orange
20,7,9,orange
26,27,10,orange
5,23,15,orange
0,18,14,orange
39,24,14,orange
13,23,6,orange
21,17,15,orange
33,12,8,orange
6,9,12,orange
19,7,10,orange
24,18,6,orange
9,11,8,orange
31,8,7,orange
22,17,5,orange
13,5,8,orange
16,8,9,orange
4,13,6,orange
0,25,14,orange
8,7,10,orange
4,23,5,orange
33,14,8,orange
30,7,15,orange
21,29,12,orange
11,14,5,orange
9,8,15,orange
5,18,14,orange
29,25,14,orange
33,12,15,orange
8,16,6,orange
15,14,8,orange
16,7,8,orange
0,12,7,orange
5,25,6,orange
6,8,11,orange
10,5,5,orange
1,17,6,orange
1,30,10,orange
0,23,15,orange
24,27,9,orange
36,11,13,orange
40,21,8,orange
40,22,6,orange
32,18,13,orange
9,10,10,orange
13,16,8,orange
15,9,11,orange
29,11,5,orange
1,15,9,orange
18,5,11,orange
14,22,9,orange
33,15,7,orange
4,6,7,orange
17,16,14,orange
12,20,10,orange
34,29,8,orange
39,28,10,orange
31,25,12,orange
12,6,8,orange
12,29,13,orange
26,11,11,orange
19,24,15,orange
39,21,9,orange
16,29,13,orange
36,29,13,orange
37,23,12,orange
39,9,15,orange
31,5,14,orange
18,12,8,orange
20,20,10,orange
5,8,5,orange
20,8,12,orange
25,21,11,orange
14,19,14,orange
37,18,12,orange
26,15,6,orange
13,22,5,orange
32,25,9,orange
19,7,9,orange
28,7,9,orange
24,30,11,orange
7,17,10,orange
18,23,8,orange
7,20,12,orange
20,23,11,orange
18,14,11,orange
34,11,10,orange
20,29,10,orange
37,24,13,orange
12,8,10,orange
34,10,14,orange
6,13,9,orange
27,30,5,orange
13,8,12,orange
6,7,7,orange
40,17,15,orange
31,26,9,orange
133,47,24,cotton
136,36,20,cotton
104,47,18,cotton
133,47,23,cotton
126,38,23,cotton
126,50,19,cotton
113,41,20,cotton
121,45,22,cotton
121,47,16,cotton
129,60,22,cotton
107,45,25,cotton
122,59,18,cotton
140,38,15,cotton
102,49,21,cotton
111,40,25,cotton
131,35,18,cotton
135,43,16,cotton
100,46,18,cotton
123,39,24,cotton
117,56,15,cotton
121,36,24,cotton
101,58,18,cotton
107,42,24,cotton
100,41,22,cotton
125,39,21,cotton
105,60,23,cotton
102,46,19,cotton
131,49,22,cotton
139,35,15,cotton
108,36,19,cotton
118,45,23,cotton
107,51,22,cotton
125,60,17,cotton
113,37,20,cotton
131,52,16,cotton
115,48,16,cotton
113,38,25,cotton
111,41,18,cotton
111,53,19,cotton
122,48,16,cotton
108,46,17,cotton
132,41,22,cotton
103,42,17,cotton
133,50,25,cotton
127,37,18,cotton
110,39,25,cotton
131,38,19,cotton
108,38,24,cotton
122,40,17,cotton
111,50,15,cotton
140,40,17,cotton
100,40,20,cotton
123,50,16,cotton
107,36,21,cotton
118,50,19,cotton
103,51,20,cotton
133,57,19,cotton
129,47,20,cotton
116,52,19,cotton
114,40,23,cotton
131,60,17,cotton
107,43,18,cotton
123,44,21,cotton
112,49,25,cotton
119,44,15,cotton
130,59,19,cotton
127,53,24,cotton
134,52,18,cotton
109,36,18,cotton
100,48,17,cotton
132,52,19,cotton
102,37,25,cotton
111,39,22,cotton
117,51,15,cotton
136,36,24,cotton
134,56,18,cotton
112,54,15,cotton
105,56,15,cotton
140,45,15,cotton
126,46,25,cotton
106,49,24,cotton
121,53,19,cotton
108,60,17,cotton
116,56,17,cotton
100,52,19,cotton
129,43,16,cotton
118,44,23,cotton
117,43,25,cotton
126,37,21,cotton
120,48,16,cotton
102,45,16,cotton
131,56,20,cotton
114,40,17,cotton
101,37,18,cotton
106,46,20,cotton
113,38,20,cotton
102,53,21,cotton
110,39,18,cotton
107,58,15,cotton
120,60,15,cotton
91,21,26,cacao
107,21,26,cacao
83,38,35,cacao
108,24,31,cacao
116,28,34,cacao
116,23,25,cacao
109,31,27,cacao
89,25,34,cacao
118,18,32,cacao
111,32,34,cacao
84,36,28,cacao
85,33,25,cacao
99,15,27,cacao
81,30,31,cacao
95,39,29,cacao
81,34,30,cacao
80,15,28,cacao
104,20,26,cacao
109,29,28,cacao
100,32,26,cacao
100,24,28,cacao
83,21,28,cacao
120,23,28,cacao
104,26,30,cacao
108,33,31,cacao
91,25,26,cacao
86,26,27,cacao
98,18,27,cacao
111,27,31,cacao
84,39,35,cacao
98,27,27,cacao
118,21,34,cacao
103,27,31,cacao
82,24,33,cacao
86,31,35,cacao
88,35,35,cacao
84,27,29,cacao
120,40,33,cacao
106,40,30,cacao
113,21,33,cacao
117,34,25,cacao
80,30,25,cacao
88,21,27,cacao
113,33,34,cacao
87,23,28,cacao
113,15,29,cacao
98,29,30,cacao
97,29,27,cacao
85,35,32,cacao
82,29,35,cacao
103,33,25,cacao
112,17,28,cacao
99,19,33,cacao
120,20,34,cacao
114,27,28,cacao
100,40,35,cacao
108,35,25,cacao
115,31,30,cacao
87,28,30,cacao
82,24,26,cacao
94,26,27,cacao
87,28,35,cacao
118,40,35,cacao
87,38,29,cacao
92,40,30,cacao
97,22,26,cacao
99,40,32,cacao
89,28,33,cacao
112,39,29,cacao
111,28,26,cacao
114,20,26,cacao
117,26,30,cacao
111,29,31,cacao
119,30,28,cacao
116,40,33,cacao
95,37,35,cacao
86,40,33,cacao
117,37,32,cacao
105,18,35,cacao
109,23,25,cacao
80,18,31,cacao
101,31,26,cacao
103,33,33,cacao
93,26,27,cacao
104,35,28,cacao
116,36,25,cacao
107,38,29,cacao
101,33,33,cacao
107,31,31,cacao
99,16,30,cacao
103,40,30,cacao
118,31,34,cacao
106,21,35,cacao
116,38,34,cacao
97,35,26,cacao
107,34,32,cacao
99,15,27,cacao
118,33,30,cacao
117,32,34,cacao
104,18,30,cacao
90,42,43,rice
85,58,41,rice
60,55,44,rice
74,35,40,rice
78,42,42,rice
69,37,42,rice
69,55,38,rice
94,53,40,rice
89,54,38,rice
68,58,38,rice
91,53,40,rice
90,46,42,rice
78,58,44,rice
93,56,36,rice
94,50,37,rice
60,48,39,rice
85,38,41,rice
91,35,39,rice
77,38,36,rice
88,35,40,rice
89,45,36,rice
76,40,43,rice
67,59,41,rice
83,41,43,rice
98,47,37,rice
66,53,41,rice
97,59,43,rice
97,50,41,rice
60,49,44,rice
84,51,35,rice
73,57,41,rice
92,35,40,rice
85,37,39,rice
98,53,38,rice
88,54,44,rice
95,55,42,rice
99,57,35,rice
95,39,36,rice
60,43,44,rice
71,54,16,corn
61,44,17,corn
80,43,16,corn
73,58,21,corn
61,38,20,corn
68,41,16,corn
93,41,17,corn
89,60,19,corn
76,44,17,corn
67,60,25,corn
70,44,19,corn
90,49,21,corn
62,52,16,corn
92,44,16,corn
66,54,21,corn
63,58,22,corn
70,47,17,corn
61,41,17,corn
66,53,19,corn
91,94,46,banana
105,95,50,banana
108,92,53,banana
86,76,54,banana
80,77,49,banana
93,94,53,banana
40,72,77,soybeans
23,72,84,soybeans
39,58,85,soybeans
22,72,85,soybeans
36,67,77,soybeans
32,73,81,soybeans
58,70,84,soybeans
59,70,84,soybeans
42,62,75,soybeans
28,74,81,soybeans
58,66,79,soybeans
43,66,79,soybeans
58,63,81,soybeans
23,62,85,soybeans
27,62,77,soybeans
28,72,84,soybeans
50,56,76,soybeans
39,71,84,soybeans
25,78,76,soybeans
31,70,77,soybeans
26,80,83,soybeans
25,68,77,soybeans
31,78,76,soybeans
60,68,83,soybeans
59,62,83,soybeans
22,67,78,soybeans
36,65,80,soybeans
59,60,84,soybeans
54,77,85,soybeans
43,68,81,soybeans
2,47,15,cowpeas
20,45,22,cowpeas
2,39,15,cowpeas
27,40,24,cowpeas
35,48,15,cowpeas
4,59,25,cowpeas
1,48,24,cowpeas
36,43,21,cowpeas
11,46,24,cowpeas
34,47,19,cowpeas
21,44,18,cowpeas
17,58,20,cowpeas
118,21,34,cacao
103,27,31,cacao
82,24,33,cacao
86,31,35,cacao
88,35,35,cacao
84,27,29,cacao
120,40,33,cacao
106,40,30,cacao
113,21,33,cacao
117,34,25,cacao
37,72,18,beans
40,73,20,beans
9,77,17,beans
1,62,23,beans
33,59,22,beans
23,59,19,beans
6,62,22,beans
25,63,20,beans
7,79,23,beans
8,72,17,beans
27,64,15,beans
28,66,23,beans
32,57,18,beans
27,56,22,beans
